SEQ;VECTOR;CUDA;OMP 2;PTHREAD 2;OMP 3;PTHREAD 3;OMP 4;PTHREAD 4;
3,83928;1,76469;0,952498;2,2338;2,96989;2,18481;5,54764;3,25516;6,0557;
3,86554;1,75883;0,986715;2,13662;3,63736;2,06799;4,19531;3,66176;4,94787;
4,10836;1,75586;0,969847;2,05429;3,49442;2,51388;3,88304;3,0644;5,00592;
3,83362;1,76447;0,960575;2,14854;3,33868;1,7384;3,67272;3,1404;4,95735;
3,84075;1,7562;0,92783;2,51489;5,02566;1,68995;3,5356;3,48958;5,32076;
3,88409;1,75489;1,0047;2,06538;3,22528;1,97221;3,55692;3,03129;4,26326;
3,90643;1,75511;0,936637;2,22908;2,67243;1,52013;3,39717;3,34679;4,42312;
3,81879;1,7621;0,934565;2,05628;2,82192;1,49905;3,37109;3,25198;4,29938;
3,98942;1,75718;0,932946;2,20111;2,75575;1,53275;3,39258;2,92585;4,31651;
4,31802;1,75527;0,949228;2,09712;3,15494;1,51498;3,44349;3,16576;4,35925;
